open,high,low,close,volume,datetime
192.85,192.86,192.85,192.86,1416,2023-12-27 12:00:00
192.86,192.86,192.86,192.86,104,2023-12-27 12:01:00
192.85,192.85,192.85,192.85,300,2023-12-27 12:07:00
192.82,192.82,192.82,192.82,111,2023-12-27 12:09:00
192.83,192.83,192.83,192.83,1500,2023-12-27 12:10:00
192.87,192.87,192.87,192.87,300,2023-12-27 12:17:00
192.88,192.88,192.88,192.88,100,2023-12-27 12:20:00
192.85,192.85,192.85,192.85,136,2023-12-27 12:21:00
192.91,192.91,192.91,192.91,100,2023-12-27 12:29:00
192.98,192.98,192.98,192.98,1025,2023-12-27 12:39:00
192.96,192.96,192.92,192.92,380,2023-12-27 12:41:00
192.92,192.92,192.92,192.92,100,2023-12-27 12:43:00
192.92,192.92,192.92,192.92,578,2023-12-27 12:44:00
192.92,192.92,192.9,192.9,238,2023-12-27 12:46:00
192.92,192.93,192.92,192.92,2669,2023-12-27 12:50:00
192.91,192.91,192.91,192.91,295,2023-12-27 12:54:00
192.95,192.99,192.95,192.99,300,2023-12-27 13:00:00
192.96,192.96,192.9252,192.9252,350,2023-12-27 13:02:00
192.95,192.95,192.95,192.95,136,2023-12-27 13:04:00
192.96,192.96,192.96,192.96,300,2023-12-27 13:09:00
192.97,192.97,192.97,192.97,116,2023-12-27 13:10:00
192.98,193.0,192.98,193.0,1348,2023-12-27 13:11:00
192.99,193.0,192.99,193.0,1475,2023-12-27 13:12:00
193.0,193.0,193.0,193.0,152,2023-12-27 13:13:00
193.02,193.03,193.02,193.03,674,2023-12-27 13:14:00
193.0401,193.0401,193.0401,193.0401,500,2023-12-27 13:15:00
193.05,193.05,193.0,193.0,1548,2023-12-27 13:16:00
193.04,193.05,193.04,193.05,512,2023-12-27 13:17:00
193.04,193.05,193.04,193.05,950,2023-12-27 13:18:00
193.04,193.04,193.04,193.04,1278,2023-12-27 13:19:00
193.05,193.05,193.03,193.03,1700,2023-12-27 13:20:00
193.03,193.05,193.02,193.02,700,2023-12-27 13:22:00
193.02,193.02,193.02,193.02,200,2023-12-27 13:23:00
193.02,193.03,193.01,193.03,1122,2023-12-27 13:24:00
193.0299,193.03,193.02,193.02,585,2023-12-27 13:25:00
193.03,193.03,193.0299,193.0299,400,2023-12-27 13:27:00
193.03,193.03,193.03,193.03,2272,2023-12-27 13:29:00
193.03,193.03,193.03,193.03,1450,2023-12-27 13:32:00
193.02,193.02,193.02,193.02,100,2023-12-27 13:33:00
193.02,193.02,193.0,193.0,1300,2023-12-27 13:34:00
193.02,193.02,193.01,193.01,1583,2023-12-27 13:35:00
193.0097,193.0097,193.0,193.0,1252,2023-12-27 13:36:00
192.9767,193.01,192.9767,193.0,329,2023-12-27 13:37:00
193.01,193.01,193.0,193.0,1304,2023-12-27 13:38:00
193.01,193.01,193.0,193.0,650,2023-12-27 13:39:00
193.0,193.0,193.0,193.0,535,2023-12-27 13:40:00
192.971,192.971,192.97,192.97,470,2023-12-27 13:45:00
192.97,192.97,192.97,192.97,176,2023-12-27 13:46:00
192.98,193.0,192.98,193.0,1100,2023-12-27 13:47:00
192.98,192.9996,192.98,192.9996,225,2023-12-27 13:48:00
192.99,193.01,192.99,193.01,2967,2023-12-27 13:49:00
193.01,193.01,193.0,193.0,555,2023-12-27 13:50:00
193.01,193.01,193.0005,193.0005,241,2023-12-27 13:51:00
